Title,Movie Link,Year,Duration,MPA,Rating,Votes
Ernest Cole: Lost and Found,https://www.imdb.com/title/tt27760132/?ref_=sr_t_266,2024,1h 45m,,7.0,141
Escape,https://www.imdb.com/title/tt31898445/?ref_=sr_t_214,2024,1h 34m,,6.4,1.5K
Escape from Germany,https://www.imdb.com/title/tt28172032/?ref_=sr_t_124,2024,1h 37m,PG,5.3,710
Exhibiting Forgiveness,https://www.imdb.com/title/tt28523838/?ref_=sr_t_193,2024,1h 57m,R,7.0,851
Exhuma,https://www.imdb.com/title/tt27802490/?ref_=sr_t_133,2024,2h 14m,,6.9,20K
F*** Marry Kill,https://www.imdb.com/title/tt22528200/?ref_=sr_t_459,2024,1h 37m,R,5.2,943
Faith of Angels,https://www.imdb.com/title/tt30443437/?ref_=sr_t_190,2024,1h 38m,PG,8.2,89
Family Pack,https://www.imdb.com/title/tt29195603/?ref_=sr_t_467,2024,1h 34m,TV-MA,5.5,7.4K
Ferry 2,https://www.imdb.com/title/tt30021427/?ref_=sr_t_335,2024,1h 34m,TV-MA,5.7,2.8K
Fight or Flight,https://www.imdb.com/title/tt13652286/?ref_=sr_t_599,2024,2h 46m,,7.0,117
Fighter,https://www.imdb.com/title/tt13818368/?ref_=sr_t_168,2024,2h 46m,Not Rated,6.2,51K
Fighting Spirit: A Combat Chaplain's Journey,https://www.imdb.com/title/tt29293520/?ref_=sr_t_255,2024,PG-13,,8.6,24
Find Me Falling,https://www.imdb.com/title/tt19862722/?ref_=sr_t_578,2024,1h 33m,TV-MA,6.3,12K
First Shift,https://www.imdb.com/title/tt26434746/?ref_=sr_t_518,2024,1h 29m,,4.3,1.8K
Flow,https://www.imdb.com/title/tt4772188/?ref_=sr_t_130,2024,1h 25m,PG,7.9,11K
Fly Me to the Moon,https://www.imdb.com/title/tt1896747/?ref_=sr_t_59,2024,2h 12m,PG-13,6.6,40K
For King + Country: A Drummer Boy Christmas - Live,https://www.imdb.com/title/tt34422601/?ref_=sr_t_108,2024,1h 30m,,8.0,155
For Prophet,https://www.imdb.com/title/tt10342364/?ref_=sr_t_297,2024,1h 45m,,5.7,92
Force of Nature: The Dry 2,https://www.imdb.com/title/tt20256448/?ref_=sr_t_252,2024,2h,R,5.9,5.9K
Forty-Seven Days with Jesus,https://www.imdb.com/title/tt27691828/?ref_=sr_t_205,2024,2h 15m,,7.4,97
From Embers,https://www.imdb.com/title/tt29995494/?ref_=sr_t_268,2024,1h 39m,,4.9,95
Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/?ref_=sr_t_31,2024,2h 28m,R,7.5,252K
GHOST: Rite Here Rite Now,https://www.imdb.com/title/tt32260498/?ref_=sr_t_121,2024,2h 25m,,8.6,1.8K
Get Away,https://www.imdb.com/title/tt10449276/?ref_=sr_t_220,2024,1h 26m,R,5.8,327
Ghost Cat Anzu,https://www.imdb.com/title/tt28036831/?ref_=sr_t_217,2024,1h 37m,,6.6,465
Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=sr_t_20,2024,1h 55m,PG-13,6.1,88K
Ghostlight,https://www.imdb.com/title/tt30321095/?ref_=sr_t_179,2024,1h 55m,R,7.6,4.4K
Girl Haunts Boy,https://www.imdb.com/title/tt29892095/?ref_=sr_t_509,2024,1h 40m,PG,6.3,2.3K
Girls Will Be Girls,https://www.imdb.com/title/tt18277182/?ref_=sr_t_348,2024,1h 58m,,7.1,1.3K
